Location,Year,Date,CTT,CTP,COD,CER,WCER
Kolkata,2017,03-08-2017,219.719995,169.600003,10.0299998,25.9899994,17.9399996
Kolkata,2017,04-08-2017,-9999,167.800003,-9999,-9999,-9999
Kolkata,2017,05-08-2017,220.959995,239.500004,15.4499997,33.4899993,20.1599995
Kolkata,2017,06-08-2017,215.339995,293.000004,4.87999989,21.7799995,17.2099996
Kolkata,2017,07-08-2017,224.759995,246.200004,11.2199997,43.269999,-9999
Kolkata,2017,08-08-2017,213.919995,216.300003,2.53999994,32.8799993,21.3999995
Kolkata,2017,09-08-2017,228.209995,538.200008,3.59999992,26.1699994,19.8899996
Kolkata,2017,10-08-2017,227.779995,182.600003,12.0099997,35.4299992,18.3599996
Kolkata,2017,11-08-2017,201.159996,130.000002,6.26999986,32.0999993,-9999
Kolkata,2017,12-08-2017,211.919995,154.800002,43.309999,33.9399992,-9999
Kolkata,2017,13-08-2017,204.979995,192.600003,5.94999987,29.4799993,22.3799995
Kolkata,2017,14-08-2017,228.969995,222.200003,6.59999985,26.5099994,17.9099996
Kolkata,2017,15-08-2017,210.949995,203.200003,2.68999994,34.2999992,27.3599994
Kolkata,2017,16-08-2017,209.729995,147.800002,8.49999981,23.1099995,14.6099997
Kolkata,2017,17-08-2017,295.959993,537.700008,11.3599997,37.1399992,18.7899996
Kolkata,2017,18-08-2017,211.709995,297.100004,3.98999991,30.0899993,22.4999995
Kolkata,2017,19-08-2017,282.669994,781.400012,4.69999989,35.6299992,16.2999996
Kolkata,2017,20-08-2017,-9999,819.800012,-9999,-9999,-9999
Kolkata,2017,21-08-2017,293.329993,756.700011,3.83999991,30.4199993,14.6999997
Kolkata,2017,22-08-2017,206.459995,674.20001,15.0099997,32.3399993,-9999
Kolkata,2017,23-08-2017,238.289995,432.300006,50.5199989,38.0999991,17.1599996
Kolkata,2017,24-08-2017,260.499994,512.700008,1.78999996,30.9999993,18.8499996
Kolkata,2017,25-08-2017,210.089995,244.000004,2.40999995,22.5999995,22.2899995
Kolkata,2017,26-08-2017,237.059995,350.100005,2.36999995,28.7699994,17.9499996
Kolkata,2017,27-08-2017,227.159995,430.800006,3.90999991,29.8599993,22.0499995
Kolkata,2017,28-08-2017,221.779995,321.500005,16.7699996,32.2599993,21.4399995
Kolkata,2017,29-08-2017,210.489995,186.700003,17.6599996,36.4499992,24.3099995
Kolkata,2017,30-08-2017,253.339994,503.800008,1.30999997,27.2599994,16.3799996
Kolkata,2017,31-08-2017,209.769995,202.600003,5.68999987,36.0699992,20.0999996
Kolkata,2017,01-09-2017,214.429995,171.600003,20.8299995,22.0699995,14.7199997
Kolkata,2017,02-09-2017,228.029995,222.500003,6.62999985,28.1299994,17.9799996
Kolkata,2017,03-09-2017,255.209994,706.600011,1.87999996,22.5499995,13.7999997
Kolkata,2017,04-09-2017,299.189993,664.90001,-9999,-9999,18.1999996
Kolkata,2017,05-09-2017,-9999,591.000009,-9999,-9999,-9999
Kolkata,2017,06-09-2017,291.519993,865.200013,2.04999995,31.7299993,15.4299997
Kolkata,2017,07-09-2017,282.979994,537.600008,3.67999992,42.4699991,22.9199995
Kolkata,2017,08-09-2017,270.879994,586.000009,3.76999992,29.2399993,17.5099996
Kolkata,2017,09-09-2017,260.909994,395.600006,17.6199996,36.2399992,21.5699995
Kolkata,2017,10-09-2017,214.819995,166.700002,2.22999995,26.0099994,23.1199995
Kolkata,2017,11-09-2017,272.919994,494.800007,4.85999989,36.5299992,17.9499996
Kolkata,2017,12-09-2017,229.359995,249.800004,4.4499999,36.4399992,20.1899995
Kolkata,2017,13-09-2017,276.389994,692.60001,3.41999992,27.7799994,19.2599996
Kolkata,2017,14-09-2017,275.419994,492.300007,1.56999996,38.7099991,24.6099994
Kolkata,2017,15-09-2017,270.099994,643.10001,2.33999995,33.3799993,17.1099996
Kolkata,2017,16-09-2017,300.199993,689.00001,-9999,-9999,18.9499996
Kolkata,2017,17-09-2017,197.969996,120.800002,25.0499994,28.2699994,-9999
Kolkata,2017,18-09-2017,217.719995,159.700002,2.85999994,23.9699995,19.0699996
Kolkata,2017,19-09-2017,213.909995,205.700003,7.04999984,33.5599992,19.5099996
Kolkata,2017,20-09-2017,247.439994,355.900005,16.3899996,31.1799993,17.4899996
Kolkata,2017,21-09-2017,-9999,814.700012,-9999,-9999,-9999
Kolkata,2017,22-09-2017,261.009994,630.300009,3.60999992,28.6299994,16.0999996
Kolkata,2017,23-09-2017,211.709995,229.100003,1.07999998,34.3099992,23.7199995
Kolkata,2017,24-09-2017,270.469994,703.40001,1.76999996,38.4899991,19.6899996
Kolkata,2017,25-09-2017,226.429995,437.800007,2.25999995,38.9599991,24.0099995
Kolkata,2017,26-09-2017,204.679995,214.300003,1.47999997,32.2099993,15.4599997
Kolkata,2017,27-09-2017,208.109995,165.900002,3.82999991,28.8099994,25.1399994
Kolkata,2017,28-09-2017,227.499995,207.300003,3.53999992,27.7799994,20.4299995
Kolkata,2017,29-09-2017,217.009995,213.100003,12.2199997,27.1499994,21.8099995
Kolkata,2017,30-09-2017,212.959995,267.000004,29.3199993,35.1599992,24.9199994
Kolkata,2018,01-06-2018,213.009995,165.700002,49.9299989,30.9799993,21.8499995
Kolkata,2018,02-06-2018,290.479994,698.70001,-9999,-9999,15.9899996
Kolkata,2018,03-06-2018,265.249994,510.200008,9.30999979,27.0399994,15.5699997
Kolkata,2018,04-06-2018,-9999,183.000003,-9999,-9999,-9999
Kolkata,2018,05-06-2018,235.539995,333.200005,12.6299997,28.1799994,16.0399996
Kolkata,2018,06-06-2018,213.889995,269.500004,3.94999991,38.3099991,21.3099995
Kolkata,2018,07-06-2018,298.909993,830.500012,14.9199997,31.2899993,13.3699997
Kolkata,2018,08-06-2018,210.819995,133.500002,3.38999992,32.2599993,20.3799995
Kolkata,2018,09-06-2018,209.309995,140.300002,6.92999985,29.8999993,17.6399996
Kolkata,2018,10-06-2018,214.049995,147.300002,6.12999986,24.6999994,17.2299996
Kolkata,2018,11-06-2018,204.669995,135.300002,6.59999985,31.1799993,22.7299995
Kolkata,2018,12-06-2018,230.729995,250.100004,3.78999992,39.4799991,17.7099996
Kolkata,2018,13-06-2018,288.009994,313.900005,-9999,-9999,11.4099997
Kolkata,2018,14-06-2018,226.269995,291.600004,1.58999996,24.7999994,19.2999996
Kolkata,2018,15-06-2018,280.539994,318.400005,0.829999981,42.889999,-9999
Kolkata,2018,16-06-2018,291.979993,539.400008,1.41999997,27.4299994,13.4799997
Kolkata,2018,17-06-2018,274.019994,605.200009,-9999,-9999,12.7199997
Kolkata,2018,18-06-2018,306.039993,781.600012,-9999,-9999,-9999
Kolkata,2018,19-06-2018,295.559993,790.500012,-9999,-9999,13.7299997
Kolkata,2018,20-06-2018,-9999,263.700004,-9999,-9999,-9999
Kolkata,2018,21-06-2018,223.769995,342.700005,6.13999986,23.8799995,16.3299996
Kolkata,2018,22-06-2018,280.519994,538.900008,4.3699999,44.149999,19.4999996
Kolkata,2018,23-06-2018,209.429995,197.100003,51.4699988,35.4299992,22.9299995
Kolkata,2018,24-06-2018,209.289995,205.500003,44.149999,33.2599993,17.7099996
Kolkata,2018,25-06-2018,199.689996,177.500003,107.559998,27.8799994,11.9399997
Kolkata,2018,26-06-2018,277.359994,460.300007,-9999,-9999,13.9599997
Kolkata,2018,27-06-2018,248.599994,280.200004,8.8799998,17.3399996,23.1199995
Kolkata,2018,28-06-2018,233.299995,272.800004,7.58999983,31.5699993,20.8099995
Kolkata,2018,29-06-2018,241.809995,665.60001,4.2899999,41.6699991,20.2699995
Kolkata,2018,30-06-2018,250.719994,442.500007,3.28999993,25.2299994,15.5099997
Kolkata,2018,01-07-2018,280.569994,624.500009,1.41999997,15.9299996,18.2199996
Kolkata,2018,02-07-2018,220.969995,213.800003,1.99999996,24.3399995,19.6399996
Kolkata,2018,03-07-2018,213.749995,171.300003,15.1299997,28.0299994,13.3599997
Kolkata,2018,04-07-2018,204.629995,196.200003,14.4399997,23.7799995,15.3999997
Kolkata,2018,05-07-2018,224.639995,251.800004,25.1699994,21.5099995,15.6999996
Kolkata,2018,06-07-2018,-9999,670.00001,-9999,-9999,-9999
Kolkata,2018,07-07-2018,224.089995,216.300003,2.32999995,21.9699995,17.5399996
Kolkata,2018,08-07-2018,285.869994,872.300013,4.87999989,37.0699992,16.4499996
Kolkata,2018,09-07-2018,286.579994,661.80001,4.20999991,22.7099995,15.2899997
Kolkata,2018,10-07-2018,222.259995,519.600008,5.33999988,34.7299992,20.0499996
Kolkata,2018,11-07-2018,221.369995,214.600003,2.62999994,26.8599994,21.3299995
Kolkata,2018,12-07-2018,217.959995,173.500003,3.33999993,29.6299993,22.2399995
Kolkata,2018,13-07-2018,253.419994,273.600004,3.61999992,26.7599994,20.6499995
Kolkata,2018,14-07-2018,278.629994,579.200009,5.43999988,26.2799994,16.5899996
Kolkata,2018,15-07-2018,233.209995,177.100003,4.3299999,32.5999993,21.6399995
Kolkata,2018,16-07-2018,283.509994,744.700011,3.68999992,24.3099995,15.8599996
Kolkata,2018,17-07-2018,240.409995,376.400006,5.24999988,41.7999991,19.8199996
Kolkata,2018,18-07-2018,210.189995,159.700002,3.09999993,25.3299994,19.3599996
Kolkata,2018,19-07-2018,287.399994,441.700007,7.29999984,40.8099991,19.2899996
Kolkata,2018,20-07-2018,265.249994,263.300004,3.38999992,23.4699995,15.7499996
Kolkata,2018,21-07-2018,232.029995,232.600003,12.3099997,27.4899994,21.4599995
Kolkata,2018,22-07-2018,-9999,185.600003,-9999,-9999,-9999
Kolkata,2018,23-07-2018,212.799995,157.800002,11.0599998,29.0499994,19.4099996
Kolkata,2018,24-07-2018,248.979994,224.500003,10.9899998,34.7099992,15.9999996
Kolkata,2018,25-07-2018,210.239995,160.600002,20.8299995,27.0999994,17.5899996
Kolkata,2018,26-07-2018,205.829995,232.300003,46.509999,33.4899993,-9999
Kolkata,2018,27-07-2018,212.719995,144.400002,13.4299997,33.5299993,21.1299995
Kolkata,2018,28-07-2018,228.719995,203.600003,6.78999985,32.9199993,21.0399995
Kolkata,2018,29-07-2018,202.579995,246.700004,20.3599995,20.3599995,17.3999996
Kolkata,2018,30-07-2018,228.869995,259.700004,4.71999989,33.4199993,17.2499996
Kolkata,2018,31-07-2018,210.909995,147.100002,12.7099997,33.7099992,13.8999997
Kolkata,2018,01-08-2018,221.689995,190.800003,39.7599991,27.5599994,20.0299996
Kolkata,2018,02-08-2018,225.019995,248.700004,8.56999981,26.8099994,15.0499997
Kolkata,2018,03-08-2018,280.799994,524.000008,6.70999985,38.3199991,13.2399997
Kolkata,2018,04-08-2018,258.519994,461.600007,2.41999995,27.5499994,18.2399996
Kolkata,2018,05-08-2018,241.009995,221.600003,4.3199999,33.1499993,16.3499996
Kolkata,2018,06-08-2018,218.629995,170.900003,9.89999978,28.5099994,19.1099996
Kolkata,2018,07-08-2018,-9999,721.600011,-9999,-9999,-9999
Kolkata,2018,08-08-2018,229.759995,387.900006,5.91999987,22.7499995,17.8199996
Kolkata,2018,09-08-2018,253.929994,665.40001,2.62999994,35.6099992,22.0899995
Kolkata,2018,10-08-2018,295.389993,836.900012,1.53999997,18.2199996,15.1899997
Kolkata,2018,11-08-2018,231.609995,306.600005,1.60999996,32.0599993,22.4499995
Kolkata,2018,12-08-2018,220.459995,201.700003,3.22999993,29.0299994,19.9599996
Kolkata,2018,13-08-2018,216.309995,184.500003,5.20999988,26.8199994,22.6699995
Kolkata,2018,14-08-2018,254.779994,198.100003,3.33999993,27.0499994,21.3599995
Kolkata,2018,15-08-2018,257.859994,420.000006,6.30999986,26.7599994,19.6699996
Kolkata,2018,16-08-2018,222.049995,381.100006,7.55999983,38.8699991,23.5099995
Kolkata,2018,17-08-2018,242.389995,381.500006,2.78999994,27.2099994,18.1299996
